Local time,Open,High,Low,Close,Volume
14.09.2003 17:00:00.000 GMT-0400,1.12745,1.13098,1.12411,1.12817,1106289794921.875
15.09.2003 17:00:00.000 GMT-0400,1.12841,1.13180,1.11538,1.11746,1119165710937.5
16.09.2003 17:00:00.000 GMT-0400,1.11782,1.12997,1.11382,1.12834,1114659804687.5
17.09.2003 17:00:00.000 GMT-0400,1.12843,1.13424,1.12264,1.12556,1119430294921.875
18.09.2003 17:00:00.000 GMT-0400,1.12570,1.13837,1.12382,1.13792,1113980488281.25
19.09.2003 17:00:00.000 GMT-0400,1.13792,1.13792,1.13792,1.13792,0
20.09.2003 17:00:00.000 GMT-0400,1.13792,1.13792,1.13792,1.13792,0
21.09.2003 17:00:00.000 GMT-0400,1.14343,1.15046,1.14134,1.14602,1119973708984.375
22.09.2003 17:00:00.000 GMT-0400,1.14588,1.15243,1.14358,1.14404,1125451496093.75
23.09.2003 17:00:00.000 GMT-0400,1.14445,1.15049,1.14273,1.14949,1116648707031.25
24.09.2003 17:00:00.000 GMT-0400,1.14951,1.15331,1.14578,1.14902,1124120904296.875
25.09.2003 17:00:00.000 GMT-0400,1.14896,1.14975,1.14404,1.14607,1117312398437.5
26.09.2003 17:00:00.000 GMT-0400,1.14607,1.14607,1.14607,1.14607,0
27.09.2003 17:00:00.000 GMT-0400,1.14607,1.14607,1.14607,1.14607,0
28.09.2003 17:00:00.000 GMT-0400,1.14558,1.16015,1.13941,1.15971,1120820884765.625
29.09.2003 17:00:00.000 GMT-0400,1.16010,1.17339,1.15705,1.16547,1131598398437.5
30.09.2003 17:00:00.000 GMT-0400,1.16585,1.17288,1.16424,1.17146,1119150888671.875
01.10.2003 17:00:00.000 GMT-0400,1.17193,1.17677,1.16612,1.16926,1120582501953.125
02.10.2003 17:00:00.000 GMT-0400,1.16943,1.17205,1.15500,1.15810,1118614898437.5
03.10.2003 17:00:00.000 GMT-0400,1.15810,1.15810,1.15810,1.15810,0
04.10.2003 17:00:00.000 GMT-0400,1.15810,1.15810,1.15810,1.15810,0
05.10.2003 17:00:00.000 GMT-0400,1.15655,1.17237,1.15322,1.17079,1118039703125
06.10.2003 17:00:00.000 GMT-0400,1.17112,1.18115,1.16975,1.17590,1110572101562.5
07.10.2003 17:00:00.000 GMT-0400,1.17647,1.18396,1.17587,1.18092,1112320892578.125
08.10.2003 17:00:00.000 GMT-0400,1.18097,1.18604,1.16840,1.17457,1122516404296.875
09.10.2003 17:00:00.000 GMT-0400,1.17467,1.18467,1.17022,1.17958,1107425806640.625
10.10.2003 17:00:00.000 GMT-0400,1.17958,1.17958,1.17958,1.17958,0
11.10.2003 17:00:00.000 GMT-0400,1.17958,1.17958,1.17958,1.17958,0
12.10.2003 17:00:00.000 GMT-0400,1.18109,1.18150,1.16523,1.17030,1099260898437.5
13.10.2003 17:00:00.000 GMT-0400,1.17060,1.17650,1.15818,1.17234,1119389302734.375
14.10.2003 17:00:00.000 GMT-0400,1.17264,1.17450,1.15906,1.16339,1120716097656.25
15.10.2003 17:00:00.000 GMT-0400,1.16378,1.16948,1.15734,1.15873,1118351705078.125
16.10.2003 17:00:00.000 GMT-0400,1.15860,1.16843,1.15526,1.16812,1110120007812.5
17.10.2003 17:00:00.000 GMT-0400,1.16812,1.16812,1.16812,1.16812,0
18.10.2003 17:00:00.000 GMT-0400,1.16812,1.16812,1.16812,1.16812,0
19.10.2003 17:00:00.000 GMT-0400,1.17098,1.17285,1.16016,1.16336,1114258894531.25
20.10.2003 17:00:00.000 GMT-0400,1.16362,1.17006,1.16168,1.16671,1108798896484.375
21.10.2003 17:00:00.000 GMT-0400,1.16654,1.18265,1.16477,1.18011,1119755505859.375
22.10.2003 17:00:00.000 GMT-0400,1.18021,1.18444,1.17561,1.17915,1122468007812.5
23.10.2003 17:00:00.000 GMT-0400,1.17903,1.18566,1.17601,1.17797,1113403099609.375
24.10.2003 17:00:00.000 GMT-0400,1.17797,1.17797,1.17797,1.17797,0
25.10.2003 17:00:00.000 GMT-0400,1.17797,1.17797,1.17797,1.17797,0
26.10.2003 17:00:00.000 GMT-0500,1.17742,1.17843,1.17176,1.17440,1121920000000
27.10.2003 17:00:00.000 GMT-0500,1.17441,1.17507,1.16548,1.16704,1114502296875
28.10.2003 17:00:00.000 GMT-0500,1.16701,1.17180,1.16584,1.16618,1115507896484.375
29.10.2003 17:00:00.000 GMT-0500,1.16602,1.17542,1.16160,1.16225,1119949386718.75
30.10.2003 17:00:00.000 GMT-0500,1.16228,1.16557,1.15628,1.15877,1114130501953.125
31.10.2003 17:00:00.000 GMT-0500,1.15877,1.15877,1.15877,1.15877,0
01.11.2003 17:00:00.000 GMT-0500,1.15877,1.15877,1.15877,1.15877,0
02.11.2003 17:00:00.000 GMT-0500,1.15778,1.16192,1.14275,1.14554,1106661597656.25
03.11.2003 17:00:00.000 GMT-0500,1.14573,1.15122,1.14262,1.14933,1117802599609.375
04.11.2003 17:00:00.000 GMT-0500,1.14921,1.14980,1.14130,1.14378,1125889601562.5
05.11.2003 17:00:00.000 GMT-0500,1.14391,1.14629,1.13886,1.14153,1120986695312.5
06.11.2003 17:00:00.000 GMT-0500,1.14165,1.15428,1.13783,1.15295,1127474906250
07.11.2003 17:00:00.000 GMT-0500,1.15295,1.15295,1.15295,1.15295,0
08.11.2003 17:00:00.000 GMT-0500,1.15295,1.15295,1.15295,1.15295,0
09.11.2003 17:00:00.000 GMT-0500,1.15034,1.15352,1.14627,1.14797,1104117294921.875
10.11.2003 17:00:00.000 GMT-0500,1.14798,1.15304,1.14431,1.15200,1123200306640.625
11.11.2003 17:00:00.000 GMT-0500,1.15210,1.16599,1.15030,1.16284,1123858097656.25
12.11.2003 17:00:00.000 GMT-0500,1.16328,1.17380,1.16251,1.17322,1122723095703.125
13.11.2003 17:00:00.000 GMT-0500,1.17325,1.18020,1.17271,1.17758,1127722705078.125
14.11.2003 17:00:00.000 GMT-0500,1.17758,1.17758,1.17758,1.17758,0
15.11.2003 17:00:00.000 GMT-0500,1.17758,1.17758,1.17758,1.17758,0
16.11.2003 17:00:00.000 GMT-0500,1.17764,1.18485,1.17245,1.17471,1120315898437.5
17.11.2003 17:00:00.000 GMT-0500,1.17479,1.19738,1.17327,1.19710,1130790494140.625
18.11.2003 17:00:00.000 GMT-0500,1.19696,1.19772,1.18733,1.18758,1120436798828.125
19.11.2003 17:00:00.000 GMT-0500,1.18750,1.19556,1.18711,1.19111,1142479300781.25
20.11.2003 17:00:00.000 GMT-0500,1.19127,1.19379,1.18567,1.19152,1116755400390.625
21.11.2003 17:00:00.000 GMT-0500,1.19152,1.19152,1.19152,1.19152,0
22.11.2003 17:00:00.000 GMT-0500,1.19152,1.19152,1.19152,1.19152,0
23.11.2003 17:00:00.000 GMT-0500,1.19084,1.19177,1.17565,1.17700,1103750613281.25
24.11.2003 17:00:00.000 GMT-0500,1.17718,1.18185,1.17519,1.17899,1120140398437.5
25.11.2003 17:00:00.000 GMT-0500,1.17902,1.19475,1.17686,1.19400,1116830392578.125
26.11.2003 17:00:00.000 GMT-0500,1.19392,1.19411,1.18831,1.19071,1125314384765.625
27.11.2003 17:00:00.000 GMT-0500,1.19068,1.20145,1.18972,1.19928,1128260902343.75
28.11.2003 17:00:00.000 GMT-0500,1.19928,1.19928,1.19928,1.19928,0
29.11.2003 17:00:00.000 GMT-0500,1.19928,1.19928,1.19928,1.19928,0
30.11.2003 17:00:00.000 GMT-0500,1.19717,1.20403,1.19364,1.19805,1118367292968.75
01.12.2003 17:00:00.000 GMT-0500,1.19820,1.20913,1.19407,1.20811,1123872304687.5
02.12.2003 17:00:00.000 GMT-0500,1.20793,1.21268,1.20693,1.21077,1119023302734.375
03.12.2003 17:00:00.000 GMT-0500,1.21090,1.21553,1.20290,1.20855,1120184488281.25
04.12.2003 17:00:00.000 GMT-0500,1.20821,1.21781,1.20616,1.21660,1124115203125
05.12.2003 17:00:00.000 GMT-0500,1.21660,1.21660,1.21660,1.21660,0
06.12.2003 17:00:00.000 GMT-0500,1.21660,1.21660,1.21660,1.21660,0
07.12.2003 17:00:00.000 GMT-0500,1.21725,1.22389,1.21476,1.22180,1115506902343.75
08.12.2003 17:00:00.000 GMT-0500,1.22173,1.22745,1.21869,1.22543,1113202486328.125
09.12.2003 17:00:00.000 GMT-0500,1.22576,1.22649,1.21523,1.22145,1114963505859.375
10.12.2003 17:00:00.000 GMT-0500,1.22151,1.22331,1.21123,1.22187,1117878998046.875
11.12.2003 17:00:00.000 GMT-0500,1.22213,1.23063,1.22071,1.22756,1121114695312.5
12.12.2003 17:00:00.000 GMT-0500,1.22756,1.22756,1.22756,1.22756,0
13.12.2003 17:00:00.000 GMT-0500,1.22756,1.22756,1.22756,1.22756,0
14.12.2003 17:00:00.000 GMT-0500,1.21419,1.23226,1.21288,1.23173,1123996894531.25
15.12.2003 17:00:00.000 GMT-0500,1.23168,1.23594,1.23000,1.23302,1123744708984.375
16.12.2003 17:00:00.000 GMT-0500,1.23291,1.24208,1.22948,1.24107,1123980796875
17.12.2003 17:00:00.000 GMT-0500,1.24091,1.24382,1.23587,1.24231,1113234416015.625
18.12.2003 17:00:00.000 GMT-0500,1.24220,1.24346,1.23430,1.23739,1110973498046.875
19.12.2003 17:00:00.000 GMT-0500,1.23739,1.23739,1.23739,1.23739,0
20.12.2003 17:00:00.000 GMT-0500,1.23739,1.23739,1.23739,1.23739,0
21.12.2003 17:00:00.000 GMT-0500,1.24025,1.24459,1.23479,1.23956,1116565992187.5
22.12.2003 17:00:00.000 GMT-0500,1.23948,1.24250,1.23823,1.23927,1109616888671.875
23.12.2003 17:00:00.000 GMT-0500,1.23943,1.24702,1.23924,1.24460,1099927498046.875
24.12.2003 17:00:00.000 GMT-0500,1.24448,1.24620,1.24342,1.24520,757108500000
25.12.2003 17:00:00.000 GMT-0500,1.24499,1.24693,1.24208,1.24272,1082480087890.625
26.12.2003 17:00:00.000 GMT-0500,1.24272,1.24272,1.24272,1.24272,0
27.12.2003 17:00:00.000 GMT-0500,1.24272,1.24272,1.24272,1.24272,0
